Rank,Player,18/19,18/19*
500,Troy Williams,77250.00,79030.00
500,George King,77250.00,79030.00
500,Haywood Highsmith,77250.00,79030.00
500,Shake Milton,77250.00,79030.00
500,Amile Jefferson,77250.00,79030.00
500,Troy Caupain,77250.00,79030.00
500,Donte Grantham,77250.00,79030.00
500,Tyler Davis,77250.00,79030.00
500,Kadeem Allen,77250.00,79030.00
500,Isaiah Hicks,77250.00,79030.00
500,Trevon Bluiett,77250.00,79030.00
500,CJ Williams,77250.00,79030.00
500,Jared Terrell,77250.00,79030.00
500,Bonzie Colson,77250.00,79030.00
500,Jaylen Morris,77250.00,79030.00
500,Duncan Robinson,77250.00,79030.00
500,Julian Washburn,77250.00,79030.00
500,Jarnell Stokes,77250.00,79030.00
500,DJ Stephens,77250.00,79030.00
500,Yuta Watanabe,77250.00,79030.00
500,Alex Caruso,77250.00,79030.00
500,Johnathan Motley,77250.00,79030.00
500,Angel Delgado,77250.00,79030.00
500,Trevon Duval,77250.00,79030.00
500,Vincent Edwards,77250.00,79030.00
500,Marcus Derrickson,77250.00,79030.00
500,Damion Lee,77250.00,79030.00
500,Zach Lofton,77250.00,79030.00
500,Keenan Evans,77250.00,79030.00
500,Archie Goodwin,77250.00,79030.00
500,DeVaughn Akoon-Purcell,77250.00,79030.00
500,Thomas Welsh,77250.00,79030.00
500,Daryl Macon,77250.00,79030.00
500,Kostas Antetokounmpo,77250.00,79030.00
500,Deng Adel,77250.00,79030.00
500,Jalen Jones,77250.00,79030.00
500,Jaron Blossomgame,77250.00,79030.00
500,Billy Preston,77250.00,79030.00
500,John Holland,77250.00,79030.00
500,Brandon Sampson,77250.00,79030.00
500,Tyler Ulis,77250.00,79030.00
500,Rawle Alkins,77250.00,79030.00
500,Joe Chealey,77250.00,79030.00
500,JP Macura,77250.00,79030.00
500,Alan Williams,77250.00,79030.00
500,Theo Pinson,77250.00,79030.00
500,RJ Hunter,77250.00,79030.00
500,PJ Dozier,77250.00,79030.00
500,Alex Poythress,77250.00,79030.00
555,Scotty Hopson,76236.00,77993.00
555,Charles Cooke,76236.00,77993.00
555,Scott Machado,76236.00,77993.00
555,Andre Ingram,76236.00,77993.00
555,Kobi Simmons,76236.00,77993.00
555,Jonathan Gibson,76236.00,77993.00
561,Wenyen Gabriel,75000.00,76728.00
562,Billy Garrett,67370.00,68922.00
563,Mitch Creek,56845.00,58155.00
563,Brandon Goodwin,56845.00,58155.00
565,Jemerrio Jones,52170.00,53372.00
566,Tarik Phillip,47370.00,48461.00
566,Cody Demps,47370.00,48461.00
566,Richard Solomon,47370.00,48461.00
566,Kendrick Nunn,47370.00,48461.00
566,Dusty Hannahs,47370.00,48461.00
566,Stephan Hicks,47370.00,48461.00
566,Michael Frazier,47370.00,48461.00
566,Tahjere McCall,47370.00,48461.00
566,Mitchell Creek,47370.00,48461.00
566,Isaac Humphries,47370.00,48461.00
566,Jordan Sibert,47370.00,48461.00
